REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,ORIGINAL_DEMAND,MODELLED_DEMAND
VIC1,2025-01-01 08:55:00,4138.223333333333,4.937121212121212,AVERAGE,4138.223333333333,4138.223333333333
VIC1,2025-01-01 09:00:00,4084.7796969696974,0.5572727272727274,AVERAGE,4084.7796969696974,4084.7796969696974
VIC1,2025-01-01 09:05:00,4062.9493939393938,5.733787878787879,AVERAGE,4062.9493939393938,4062.9493939393938
VIC1,2025-01-01 09:10:00,4047.256060606061,6.190757575757576,AVERAGE,4047.256060606061,4047.256060606061
VIC1,2025-01-01 09:15:00,3992.1719696969694,-1.4606060606060611,AVERAGE,3992.1719696969694,3992.1719696969694
VIC1,2025-01-01 09:20:00,3955.338181818182,-4.848636363636363,AVERAGE,3955.338181818182,3955.338181818182
VIC1,2025-01-01 09:25:00,3942.403484848485,-5.306515151515152,AVERAGE,3942.403484848485,3942.403484848485
VIC1,2025-01-01 09:30:00,3902.932424242425,-9.16621212121212,AVERAGE,3902.932424242425,3902.932424242425
VIC1,2025-01-01 09:35:00,3877.5016666666666,-2.079242424242425,AVERAGE,3877.5016666666666,3877.5016666666666
VIC1,2025-01-01 09:40:00,3838.347272727273,-6.338636363636363,AVERAGE,3838.347272727273,3838.347272727273
VIC1,2025-01-01 09:45:00,3828.793636363636,-7.517121212121212,AVERAGE,3828.793636363636,3828.793636363636
VIC1,2025-01-01 09:50:00,3789.9728787878794,-9.54060606060606,AVERAGE,3789.9728787878794,3789.9728787878794
VIC1,2025-01-01 09:55:00,3782.755,-9.379696969696967,AVERAGE,3782.755,3782.755
VIC1,2025-01-01 10:00:00,3750.080606060606,-9.917727272727271,AVERAGE,3750.080606060606,3750.080606060606
VIC1,2025-01-01 10:05:00,3736.407575757576,-13.923939393939394,AVERAGE,3736.407575757576,3736.407575757576
VIC1,2025-01-01 10:10:00,3746.81,-6.4398484848484845,AVERAGE,3746.81,3746.81
VIC1,2025-01-01 10:15:00,3731.1218181818185,-5.875,AVERAGE,3731.1218181818185,3731.1218181818185
VIC1,2025-01-01 10:20:00,3699.044848484848,-6.588939393939394,AVERAGE,3699.044848484848,3699.044848484848
VIC1,2025-01-01 10:25:00,3688.595,-10.26590909090909,AVERAGE,3688.595,3688.595
VIC1,2025-01-01 10:30:00,3665.8563636363633,-11.45909090909091,AVERAGE,3665.8563636363633,3665.8563636363633
VIC1,2025-01-01 10:35:00,3645.922575757576,-9.771818181818182,AVERAGE,3645.922575757576,3645.922575757576
VIC1,2025-01-01 10:40:00,3618.796060606061,-8.475606060606061,AVERAGE,3618.796060606061,3618.796060606061
VIC1,2025-01-01 10:45:00,3618.014696969697,-6.406212121212121,AVERAGE,3618.014696969697,3618.014696969697
VIC1,2025-01-01 10:50:00,3595.8610606060606,-7.041666666666667,AVERAGE,3595.8610606060606,3595.8610606060606
VIC1,2025-01-01 10:55:00,3588.081666666667,-10.452121212121211,AVERAGE,3588.081666666667,3588.081666666667
VIC1,2025-01-01 11:00:00,3569.2760606060606,-8.013484848484849,AVERAGE,3569.2760606060606,3854.8181454545456
VIC1,2025-01-01 11:05:00,3578.689393939394,-9.085454545454546,AVERAGE,3578.689393939394,3864.9845454545457
VIC1,2025-01-01 11:10:00,3573.561666666667,-5.166515151515152,AVERAGE,3573.561666666667,3859.4466000000007
VIC1,2025-01-01 11:15:00,3568.6074242424243,-2.7937878787878785,AVERAGE,3568.6074242424243,3854.0960181818186
VIC1,2025-01-01 11:20:00,3550.9386363636368,-8.02818181818182,AVERAGE,3550.9386363636368,3835.013727272728
VIC1,2025-01-01 11:25:00,3572.2122727272726,-4.967727272727273,AVERAGE,3572.2122727272726,3857.9892545454545
VIC1,2025-01-01 11:30:00,3554.856818181818,-2.7486363636363644,AVERAGE,3554.856818181818,3839.245363636364
